t,frame,offset,heading,steer_cmd,servo_target_deg,servo_actual_deg,throttle,rows_found,lane_width_px,lines_visible
0.1407,1,0.00000,0.00000,0.00000,75.00,75.00,0.0000,0,-1.00,0
0.2147,2,0.00000,0.00000,0.00000,75.00,75.00,0.0000,1,82.00,0
0.2847,3,0.13530,0.79978,0.14865,72.77,72.00,0.1344,8,82.00,1
0.3435,4,0.14134,0.84875,0.16244,72.56,72.00,0.1329,8,81.80,1
0.4024,5,0.14680,0.88093,0.17578,72.36,72.00,0.1315,8,82.52,1
0.4620,6,0.15133,0.89181,0.18336,72.25,72.00,0.1307,8,83.12,1
0.5218,7,0.15401,0.83402,0.18342,72.25,72.00,0.1307,8,82.97,1
0.5814,8,0.15479,0.79496,0.17865,72.32,72.00,0.1312,8,82.84,1
0.6412,9,0.15420,0.77022,0.17203,72.42,72.00,0.1319,8,82.69,1
0.6976,10,0.15412,0.75992,0.17018,72.45,72.00,0.1321,8,82.59,1
0.7555,11,0.15358,0.75808,0.16806,72.48,72.00,0.1324,8,82.50,1
0.8158,12,0.15342,0.76301,0.16867,72.47,72.00,0.1323,8,82.35,1
0.8746,13,0.15199,0.76511,0.16549,72.52,72.00,0.1326,8,82.25,1
0.9382,14,0.15074,0.76562,0.16467,72.53,72.00,0.1327,8,82.15,1
0.9955,15,0.14934,0.76835,0.16381,72.54,72.00,0.1328,8,82.04,1
1.0575,16,0.14822,0.76881,0.16503,72.52,72.00,0.1327,8,82.00,1
1.1156,17,0.14769,0.77398,0.16830,72.48,72.00,0.1323,8,81.93,1
1.1762,18,0.14769,0.77652,0.17346,72.40,72.00,0.1318,8,81.91,1
1.2383,19,0.14714,0.77575,0.17623,72.36,72.00,0.1315,8,81.82,1
1.3016,20,0.14722,0.78002,0.18131,72.28,72.00,0.1310,8,81.67,1
1.3622,21,0.14510,0.78025,0.17800,72.33,72.00,0.1313,8,81.67,1
1.4187,22,0.14565,0.78273,0.18502,72.22,72.00,0.1306,8,81.60,1
1.4712,23,0.14573,0.78381,0.18911,72.16,72.00,0.1301,8,81.51,1
1.5260,24,0.14524,0.78828,0.19101,72.13,72.00,0.1299,8,81.46,1
1.5806,25,0.14581,0.79167,0.19688,72.05,72.00,0.1293,8,81.51,1
1.6427,26,0.14904,0.83613,0.21189,71.82,71.00,0.1278,8,82.16,1
1.6982,27,0.12733,0.73612,0.13579,72.96,72.00,0.1357,12,82.29,1
1.7589,28,0.14389,0.48982,0.21227,71.82,71.00,0.1277,6,83.93,1
1.8179,29,0.13459,0.27851,0.18056,72.29,72.00,0.1310,6,85.54,1
1.8809,30,0.09185,0.39482,0.03962,74.41,74.00,0.1458,11,87.36,1
1.9430,31,0.08569,0.39778,0.05728,74.14,74.00,0.1440,10,87.92,1
2.0077,32,0.08701,0.54400,0.09560,73.57,73.00,0.1400,8,88.63,1
2.0713,33,0.10392,0.61607,0.17748,72.34,72.00,0.1314,6,89.27,1
2.1368,34,0.13038,0.57581,0.27300,70.91,70.00,0.1213,5,89.59,1
2.1980,35,0.12296,0.65900,0.23168,71.52,71.00,0.1257,6,89.88,1
2.2585,36,0.12140,0.71879,0.22099,71.69,71.00,0.1268,6,90.23,1
2.3177,37,0.14155,0.63150,0.28974,70.65,70.00,0.1196,5,90.50,1
2.3794,38,0.12460,0.73343,0.21465,71.78,71.00,0.1275,7,91.02,1
2.4420,39,0.12349,0.77696,0.21341,71.80,71.00,0.1276,6,91.52,1
2.5022,40,0.11139,0.82825,0.17450,72.38,72.00,0.1317,8,92.00,1
2.5623,41,0.11393,0.83630,0.19545,72.07,72.00,0.1295,6,92.37,1
2.6231,42,0.11307,0.80496,0.19996,72.00,72.00,0.1290,6,92.43,1
2.6833,43,0.11367,0.78126,0.20865,71.87,71.00,0.1281,6,92.49,1
2.7440,44,0.11672,0.78208,0.22432,71.64,71.00,0.1264,6,92.81,1
2.8041,45,0.12017,0.79009,0.23845,71.42,71.00,0.1250,6,93.09,1
2.8667,46,0.11252,0.81458,0.21131,71.83,71.00,0.1278,7,93.38,1
2.9281,47,0.11251,0.79562,0.21755,71.74,71.00,0.1272,6,93.29,1
2.9962,48,0.11116,0.80694,0.21851,71.72,71.00,0.1271,9,93.34,1
3.0747,49,0.08261,0.65933,0.12771,73.08,73.00,0.1366,7,94.11,1
3.1381,50,0.08518,0.59993,0.16104,72.58,72.00,0.1331,10,93.60,1
3.2067,51,0.05522,0.65591,0.07636,73.85,73.00,0.1420,11,94.49,1
3.2716,52,0.08535,0.55459,0.21412,71.79,71.00,0.1275,8,94.34,1
3.3393,53,0.11903,0.46060,0.33181,70.02,70.00,0.1152,6,94.14,1
3.4047,54,0.13551,0.47537,0.36225,69.57,69.00,0.1120,7,94.25,1
3.4708,55,0.14868,0.53911,0.37574,69.36,69.00,0.1105,6,94.17,1
3.5442,56,0.15537,0.54720,0.36308,69.55,69.00,0.1119,6,94.46,1
3.6196,57,0.15132,0.58046,0.31993,70.20,70.00,0.1164,6,94.74,1
3.6958,58,0.15006,0.57266,0.29981,70.50,70.00,0.1185,7,95.07,1
3.7613,59,0.16491,0.54684,0.34149,69.88,69.00,0.1141,5,95.23,1
3.8261,60,0.16930,0.57801,0.33955,69.91,69.00,0.1143,5,95.06,1
3.8910,61,0.15559,0.63041,0.27731,70.84,70.00,0.1209,7,95.10,1
3.9562,62,0.15547,0.61519,0.27683,70.85,70.00,0.1209,6,95.26,1
4.0214,63,0.15173,0.59762,0.26407,71.04,71.00,0.1223,7,95.46,1
4.0877,64,0.14942,0.58400,0.25922,71.11,71.00,0.1228,7,95.65,1
4.1488,65,0.14872,0.57667,0.26043,71.09,71.00,0.1227,7,95.85,1
4.2101,66,0.14751,0.57378,0.25936,71.11,71.00,0.1228,7,95.93,1
4.2714,67,0.14356,0.62089,0.24886,71.27,71.00,0.1239,7,95.69,1
4.3308,68,0.14369,0.60246,0.25442,71.18,71.00,0.1233,7,95.89,1
4.3883,69,0.14500,0.59381,0.26250,71.06,71.00,0.1224,7,96.00,1
4.4466,70,0.10396,0.61983,0.12015,73.20,73.00,0.1374,15,94.55,1
4.5078,71,0.08701,0.62841,0.09453,73.58,73.00,0.1401,3,94.55,1
4.5678,72,0.02862,0.79695,-0.07380,77.58,77.00,0.1423,11,96.35,1
4.6281,73,0.00000,0.76985,-0.10025,78.51,78.00,0.1395,14,95.39,1
4.6923,74,-0.04214,0.71948,-0.17638,81.17,81.00,0.1315,14,95.35,1
4.7578,75,-0.05610,0.65350,-0.13844,79.85,79.00,0.1355,10,95.97,1
4.8216,76,-0.04120,0.52988,-0.01861,75.65,75.00,0.1480,9,96.82,1
4.8871,77,-0.05951,0.58527,-0.04485,76.57,76.00,0.1453,9,98.43,1
4.9525,78,-0.06152,0.57402,-0.01234,75.43,75.00,0.1487,11,98.92,1
5.0201,79,-0.05800,0.55002,0.02904,74.56,74.00,0.1470,10,99.73,1
5.0874,80,-0.03866,0.48030,0.11209,73.32,73.00,0.1382,9,100.27,1
5.1535,81,-0.02069,0.43284,0.16994,72.45,72.00,0.1322,9,100.78,1
5.2198,82,0.00000,0.41790,0.20549,71.92,71.00,0.1284,9,101.29,1
5.2894,83,0.00000,0.41078,0.19792,72.03,72.00,0.1292,9,101.75,1
5.3642,84,0.00000,0.53045,0.15973,72.60,72.00,0.1332,10,101.57,1
5.4300,85,-0.02275,0.56966,0.09523,73.57,73.00,0.1400,9,102.09,1
5.4959,86,-0.02613,0.60246,0.08924,73.66,73.00,0.1406,9,102.21,1
5.5604,87,-0.03584,0.61192,0.06193,74.07,74.00,0.1435,9,102.63,1
